,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Distance,Council Area,Population,Schools,Hospitals,Sports facilities,Woolies,Coles
518,Balwyn North,3/52 Maud St,2,u,735000.0,S,Christopher,23-04-2016,3104,Southern Metropolitan,9.7,Boroondara City Council,20406,7,0,35,1,1
519,Bayswater,19 Orange Gr,3,h,588000.0,SP,Appleby,23-04-2016,3153,Eastern Metropolitan,23.2,Knox City Council,11758,7,1,32,1,1
520,Bayswater North,2/6 Dunlop Av,2,u,400000.0,S,Fletchers,23-04-2016,3153,Eastern Metropolitan,23.2,Maroondah City Council,8789,7,1,32,0,0
521,Blackburn,39 Larch St,3,h,1170000.0,S,hockingstuart,23-04-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,13940,11,1,24,0,0
522,Blackburn North,3 Shafer Rd,3,h,998800.0,SP,Fletchers,23-04-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,7436,11,1,24,0,0
523,Blackburn South,7 Paulette Ct,3,h,950000.0,S,Noel,23-04-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,10793,11,1,24,0,0
524,Boronia,30 Owen St,3,h,511000.0,S,iTRAK,23-04-2016,3155,Eastern Metropolitan,25.0,Knox City Council,22195,6,1,25,1,1
525,Box Hill,3/5 Kent Rd,2,u,400000.0,VB,Ray,23-04-2016,3128,Eastern Metropolitan,10.9,Whitehorse City Council,11395,4,3,28,1,1
526,Box Hill,5 Patricia St,3,h,1170000.0,S,Ray,23-04-2016,3128,Eastern Metropolitan,10.9,Whitehorse City Council,11395,4,3,28,1,1
527,Brighton,5/9 Collington Av,2,u,650000.0,VB,Hodges,23-04-2016,3186,Southern Metropolitan,10.5,Bayside City Council,23253,8,4,34,1,2
528,Broadmeadows,20 Gosford Cr,5,h,400000.0,PI,YPA,23-04-2016,3047,Northern Metropolitan,14.0,Hume City Council,11970,13,1,31,0,0
529,Brunswick,24 Amelia St,3,t,795000.0,S,RT,23-04-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
530,Brunswick,20 Luscombe St,2,t,815000.0,S,Nelson,23-04-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
531,Brunswick,4 McPherson St,3,h,835000.0,PI,Jellis,23-04-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
532,Brunswick,35 Percy St,2,h,705000.0,S,Chambers,23-04-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
533,Brunswick,30 Thistle St,3,h,1050000.0,PI,Collins,23-04-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
534,Brunswick,94 Wilson St,2,h,800000.0,S,Biggin,23-04-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
535,Brunswick East,14 Hutchinson St,3,h,998000.0,S,Nelson,23-04-2016,3057,Northern Metropolitan,4.0,Moreland City Council,11504,3,0,8,1,1
536,Brunswick East,1/10 Linden St,3,t,1010000.0,S,Nelson,23-04-2016,3057,Northern Metropolitan,4.0,Moreland City Council,11504,3,0,8,1,1
537,Brunswick West,1 Culloden St,3,h,995000.0,S,Brad,23-04-2016,3055,Northern Metropolitan,5.2,Moreland City Council,14159,4,0,8,0,0
538,Brunswick West,117 Pearson St,3,h,901000.0,S,Rendina,23-04-2016,3055,Northern Metropolitan,5.2,Moreland City Council,14159,4,0,8,0,0
539,Bulleen,24 Alison Av,3,h,1060000.0,S,Ray,23-04-2016,3105,Eastern Metropolitan,10.8,Manningham City Council,10873,4,0,19,1,1
540,Bulleen,4 Graeme Ct,4,h,1244000.0,PI,Fletchers,23-04-2016,3105,Eastern Metropolitan,10.8,Manningham City Council,10873,4,0,19,1,1
541,Bundoora,27 Botanica Bvd,4,h,870000.0,S,Ray,23-04-2016,3083,Northern Metropolitan,12.1,Banyule City Council,28653,9,5,47,1,1
542,Bundoora,104/11 Copernicus Cr,1,u,290000.0,VB,Ray,23-04-2016,3083,Northern Metropolitan,12.1,Banyule City Council,28653,9,5,47,1,1
543,Bundoora,12 Neilsen Cr,3,h,476000.0,S,Stockdale,23-04-2016,3083,Northern Metropolitan,12.1,Banyule City Council,28653,9,5,47,1,1
544,Camberwell,2/32 Bringa Av,2,h,840000.0,S,Jellis,23-04-2016,3124,Southern Metropolitan,7.7,Boroondara City Council,22081,4,1,19,1,1
545,Canterbury,2/20 Margaret St,2,u,690500.0,SP,Fletchers,23-04-2016,3126,Southern Metropolitan,8.4,Boroondara City Council,8056,5,2,2,0,0
546,Carlton,32 Dorrit St,4,h,2033000.0,S,Nelson,23-04-2016,3053,Northern Metropolitan,1.6,Melbourne City Council,18535,2,2,3,0,0
547,Carnegie,33b Emily St,3,h,990000.0,S,Ray,23-04-2016,3163,Southern Metropolitan,10.1,Glen Eira City Council,17388,5,0,28,0,0
548,Carnegie,1/52 Neville St,4,t,1100000.0,S,hockingstuart,23-04-2016,3163,Southern Metropolitan,10.1,Glen Eira City Council,17388,5,0,28,0,0
549,Carnegie,76 Oakleigh Rd,3,h,1125000.0,PI,Ray,23-04-2016,3163,Southern Metropolitan,10.1,Glen Eira City Council,17388,5,0,28,0,0
550,Caroline Springs,6 Strathvea La,2,h,340000.0,S,YPA,23-04-2016,3023,Western Metropolitan,14.8,Melton City Council,24205,16,0,47,0,0
551,Carrum,1/50 Kalimna St,3,t,560000.0,PI,hockingstuart,23-04-2016,3197,South-Eastern Metropolitan,31.2,Kingston City Council,3980,1,0,11,0,0
552,Carrum,531 Station St,2,h,440500.0,SP,Hodges,23-04-2016,3197,South-Eastern Metropolitan,31.2,Kingston City Council,3980,1,0,11,0,0
553,Chadstone,1/19 Binalong Av,2,u,627000.0,S,Buxton,23-04-2016,3148,Southern Metropolitan,11.7,Monash City Council,8641,2,0,7,1,2
554,Chadstone,40 Mawarra Cr,5,h,1206000.0,S,McGrath,23-04-2016,3148,Southern Metropolitan,11.7,Monash City Council,8641,2,0,7,1,2
555,Cheltenham,70 Devon St,5,h,1285000.0,S,Greg,23-04-2016,3192,Southern Metropolitan,17.9,Bayside City Council,22291,5,1,23,0,0
556,Cheltenham,24 Lincoln Dr,3,h,720000.0,S,Ray,23-04-2016,3192,Southern Metropolitan,17.9,Bayside City Council,22291,5,1,23,0,0
557,Cheltenham,3/8 Norma Av,2,u,430000.0,VB,Hodges,23-04-2016,3192,Southern Metropolitan,17.9,Bayside City Council,22291,5,1,23,0,0
558,Cheltenham,3c Wedd St,2,t,685000.0,S,Hodges,23-04-2016,3192,Southern Metropolitan,17.9,Bayside City Council,22291,5,1,23,0,0
559,Clayton South,24 Wordsworth Av,3,h,1075000.0,S,Nexus,23-04-2016,3169,South-Eastern Metropolitan,17.5,Kingston City Council,12642,6,0,13,0,0
560,Coburg,27a Bruce St,3,h,670000.0,PI,Raine,23-04-2016,3058,Northern Metropolitan,6.7,Darebin City Council,26185,12,2,33,1,2
561,Coburg,185 Moreland Rd,1,h,482500.0,S,Raine,23-04-2016,3058,Northern Metropolitan,6.7,Darebin City Council,26185,12,2,33,1,2
562,Coburg,155 Nicholson St,3,h,825000.0,S,Ray,23-04-2016,3058,Northern Metropolitan,6.7,Darebin City Council,26185,12,2,33,1,2
563,Coburg,11 Station St,3,h,725000.0,S,Brad,23-04-2016,3058,Northern Metropolitan,6.7,Darebin City Council,26185,12,2,33,1,2
564,Coburg,144 The Avenue,4,h,1250000.0,VB,Nelson,23-04-2016,3058,Northern Metropolitan,6.7,Darebin City Council,26185,12,2,33,1,2
565,Coburg North,203b Elizabeth St,2,t,570000.0,S,Ray,23-04-2016,3058,Northern Metropolitan,6.7,Darebin City Council,7601,12,2,33,1,1
566,Craigieburn,38 Cimberwood Dr,3,h,347000.0,SA,Real,23-04-2016,3064,Northern Metropolitan,20.6,Hume City Council,50347,17,1,43,1,1
567,Craigieburn,59 Creekwood Dr,4,h,516000.0,S,YPA,23-04-2016,3064,Northern Metropolitan,20.6,Hume City Council,50347,17,1,43,1,1
568,Craigieburn,11 Gillingham Cr,3,h,333100.0,S,YPA,23-04-2016,3064,Northern Metropolitan,20.6,Hume City Council,50347,17,1,43,1,1
569,Craigieburn,34 Montpellier Cr,4,h,450000.0,SP,Ray,23-04-2016,3064,Northern Metropolitan,20.6,Hume City Council,50347,17,1,43,1,1
570,Craigieburn,4 Pinehurst Ri,4,h,440000.0,S,LJ,23-04-2016,3064,Northern Metropolitan,20.6,Hume City Council,50347,17,1,43,1,1
571,Croydon,34 Binbrook Dr,3,h,716000.0,S,Century,23-04-2016,3136,Eastern Metropolitan,23.0,Maroondah City Council,26946,12,1,56,1,1
572,Croydon,1a Gallipoli Pde,3,h,699000.0,S,Stockdale,23-04-2016,3136,Eastern Metropolitan,23.0,Maroondah City Council,26946,12,1,56,1,1
573,Croydon,48a Hull Rd,3,t,550000.0,VB,Nelson,23-04-2016,3136,Eastern Metropolitan,23.0,Maroondah City Council,26946,12,1,56,1,1
574,Croydon,11 Kitchener Rd,3,h,590000.0,SP,Barry,23-04-2016,3136,Eastern Metropolitan,23.0,Maroondah City Council,26946,12,1,56,1,1
575,Dandenong North,220 Gladstone Rd,3,h,576000.0,S,Ray,23-04-2016,3175,South-Eastern Metropolitan,24.7,Greater Dandenong City Council,22451,15,5,47,0,0
576,Delahey,15 Lacebark Rd,3,h,399500.0,S,Barry,23-04-2016,3037,Western Metropolitan,18.0,Brimbank City Council,8339,8,1,17,0,0
577,Delahey,4 Young Ct,4,h,650000.0,S,Barry,23-04-2016,3037,Western Metropolitan,18.0,Brimbank City Council,8339,8,1,17,0,0
578,Diamond Creek,14 Egan St,3,h,523000.0,S,Mason,23-04-2016,3089,Northern Victoria,21.8,Nillumbik Shire Council,11733,5,0,22,1,1
579,Dingley Village,35 Jolimont Pl,5,h,900000.0,S,Ray,23-04-2016,3172,South-Eastern Metropolitan,22.2,Kingston City Council,10320,7,0,15,0,0
580,Doncaster,741 Elgar Rd,3,h,1391000.0,S,Ray,23-04-2016,3108,Eastern Metropolitan,12.4,Manningham City Council,20946,4,0,18,1,2
581,Doncaster,4/20 Wetherby Rd,2,u,452000.0,S,Parkes,23-04-2016,3108,Eastern Metropolitan,12.4,Manningham City Council,20946,4,0,18,1,2
582,Doncaster East,62 George St,4,h,990000.0,S,Barry,23-04-2016,3109,Eastern Metropolitan,14.3,Manningham City Council,28360,7,1,17,0,0
583,Doncaster East,1/76 Russell Cr,3,u,715000.0,SP,hockingstuart,23-04-2016,3109,Eastern Metropolitan,14.3,Manningham City Council,28360,7,1,17,0,0
584,Doncaster East,11 Wimbledon Ct,5,h,1100000.0,PI,Barry,23-04-2016,3109,Eastern Metropolitan,14.3,Manningham City Council,28360,7,1,17,0,0
585,Donvale,1/124 Mitcham Rd,2,u,546000.0,S,Barry,23-04-2016,3111,Eastern Metropolitan,16.1,Manningham City Council,12347,4,0,16,1,1
586,Elsternwick,22 Ross St,2,h,895000.0,S,Owen,23-04-2016,3185,Southern Metropolitan,7.2,Glen Eira City Council,10349,5,2,7,1,1
587,Eltham,5/17 Batman Rd,2,u,440000.0,S,Buckingham,23-04-2016,3095,Eastern Metropolitan,18.0,Banyule City Council,18314,11,0,32,1,1
588,Eltham,118 Bridge St,4,h,850000.0,S,Barry,23-04-2016,3095,Eastern Metropolitan,18.0,Banyule City Council,18314,11,0,32,1,1
589,Eltham,39 Nerreman Gwy,4,h,1000000.0,PI,Buckingham,23-04-2016,3095,Eastern Metropolitan,18.0,Banyule City Council,18314,11,0,32,1,1
590,Epping,12 Dunolly St,4,h,525000.0,S,Harcourts,23-04-2016,3076,Northern Metropolitan,19.6,Whittlesea City Council,32395,11,2,30,1,1
591,Epping,21 Supply Dr,3,h,527500.0,S,Barry,23-04-2016,3076,Northern Metropolitan,19.6,Whittlesea City Council,32395,11,2,30,1,1
592,Essendon,1/15 Gilbertson St,2,u,736000.0,S,Nelson,23-04-2016,3040,Western Metropolitan,7.5,Moonee Valley City Council,20596,10,1,28,1,1
593,Essendon West,2/25 Emerald St,2,t,638500.0,S,Frank,23-04-2016,3040,Western Metropolitan,7.5,Moonee Valley City Council,1439,10,1,28,0,0
594,Fairfield,231 Station St,3,h,1065000.0,S,Nelson,23-04-2016,3078,Northern Metropolitan,5.7,Darebin City Council,6558,4,1,15,0,0
595,Fawkner,10 Patricia Dr,3,h,617000.0,SP,hockingstuart,23-04-2016,3060,Northern Metropolitan,13.1,Hume City Council,14043,6,0,12,0,0
596,Fitzroy,306/96 charles St,2,u,660000.0,SP,hockingstuart,23-04-2016,3065,Northern Metropolitan,2.1,Yarra City Council,10445,4,3,29,1,1
597,Fitzroy North,179 Barkly St,3,h,2300000.0,S,Nelson,23-04-2016,3068,Northern Metropolitan,3.6,Moreland City Council,12339,8,0,14,0,0
598,Fitzroy North,181 Rae St,2,h,937500.0,S,Jellis,23-04-2016,3068,Northern Metropolitan,3.6,Moreland City Council,12339,8,0,14,0,0
599,Flemington,20 Glance St,3,h,991000.0,S,Rendina,23-04-2016,3031,Northern Metropolitan,3.4,Melbourne City Council,7719,7,0,3,1,1
600,Forest Hill,5 Hylton Cr,3,h,853000.0,SP,hockingstuart,23-04-2016,3131,Eastern Metropolitan,15.4,Whitehorse City Council,10626,4,2,20,1,1
601,Forest Hill,79 Vicki St,4,h,820000.0,VB,Noel,23-04-2016,3131,Eastern Metropolitan,15.4,Whitehorse City Council,10626,4,2,20,1,1
602,Frankston,9 Dalkeith Ct,4,h,587000.0,S,Ray,23-04-2016,3199,South-Eastern Metropolitan,38.0,Frankston City Council,36097,19,7,79,1,1
603,Frankston,2/90 High St,2,u,285000.0,PI,U,23-04-2016,3199,South-Eastern Metropolitan,38.0,Frankston City Council,36097,19,7,79,1,1
604,Frankston,3 Tralea Pl,3,h,425000.0,S,U,23-04-2016,3199,South-Eastern Metropolitan,38.0,Frankston City Council,36097,19,7,79,1,1
605,Frankston South,16 Barmah Ct,7,h,834750.0,SP,U,23-04-2016,3199,South-Eastern Metropolitan,38.0,Frankston City Council,18199,19,7,79,0,0
606,Gisborne,88 Howey St,5,h,575000.0,S,RT,23-04-2016,3437,Northern Victoria,45.9,Macedon Ranges Shire Council,8999,4,0,23,1,1
607,Gladstone Park,21 Hall Rd,4,h,490000.0,S,Brad,23-04-2016,3043,Western Metropolitan,12.9,Hume City Council,8338,5,0,30,0,0
608,Glen Waverley,1 Arianne Rd,4,t,1160000.0,S,Ray,23-04-2016,3150,Eastern Metropolitan,16.7,Monash City Council,40327,21,2,51,0,0
609,Glen Waverley,59 Remington Dr,4,h,1128000.0,SP,Jellis,23-04-2016,3150,Eastern Metropolitan,16.7,Monash City Council,40327,21,2,51,0,0
610,Glenroy,46 Moonee Bvd,4,h,600000.0,SP,Stockdale,23-04-2016,3046,Northern Metropolitan,11.2,Moreland City Council,22245,12,0,26,1,1
611,Glenroy,3/42 Pecham St,3,u,400000.0,VB,Nelson,23-04-2016,3046,Northern Metropolitan,11.2,Moreland City Council,22245,12,0,26,1,1
612,Gowanbrae,24 Balerno Cir,3,h,390000.0,PI,Nelson,23-04-2016,3043,Western Metropolitan,12.9,Moreland City Council,2773,5,0,30,0,0
613,Greensborough,7 Auriol Ct,4,h,580000.0,PI,Nelson,23-04-2016,3088,Northern Metropolitan,16.1,Banyule City Council,20821,11,1,30,1,1
614,Greensborough,115 Elder St,3,h,615000.0,S,Coventry,23-04-2016,3088,Northern Metropolitan,16.1,Banyule City Council,20821,11,1,30,1,1
615,Greenvale,12 McGuire Ct,4,h,607000.0,S,Nelson,23-04-2016,3059,Northern Metropolitan,20.4,Hume City Council,15466,3,0,12,1,1
616,Hadfield,13 Gish Ct,5,h,800000.0,VB,YPA,23-04-2016,3046,Northern Metropolitan,11.2,Moreland City Council,5610,12,0,26,0,0
617,Hampton,50 Holyrood St,4,h,2200000.0,PI,Hodges,23-04-2016,3188,Southern Metropolitan,13.8,Bayside City Council,13391,2,1,19,1,1
618,Hawthorn,1/4 Hill St,2,u,665000.0,S,Jellis,23-04-2016,3122,Southern Metropolitan,5.3,Boroondara City Council,23511,8,2,27,0,0
619,Hawthorn East,5/107 Victoria Rd,2,u,655250.0,SP,Marshall,23-04-2016,3123,Southern Metropolitan,6.2,Boroondara City Council,14321,5,1,17,0,0
620,Heidelberg,7/106 Brown St,2,t,600000.0,S,Miles,23-04-2016,3084,Eastern Metropolitan,8.9,Banyule City Council,6225,9,3,20,0,0
621,Heidelberg,2/172 Cape St,3,h,655000.0,PI,hockingstuart,23-04-2016,3084,Eastern Metropolitan,8.9,Banyule City Council,6225,9,3,20,0,0
622,Heidelberg Heights,1/97 Bamfield Rd,2,u,450000.0,SP,Miles,23-04-2016,3081,Eastern Metropolitan,8.8,Banyule City Council,6087,2,2,19,0,0
623,Heidelberg Heights,4/28 Myrtle St,3,t,620000.0,PI,Barry,23-04-2016,3081,Eastern Metropolitan,8.8,Banyule City Council,6087,2,2,19,0,0
624,Heidelberg West,16 Achilles St,3,h,1375000.0,PI,Ray,23-04-2016,3081,Eastern Metropolitan,8.8,Banyule City Council,5545,2,2,19,0,0
625,Highett,20 Sydenham St,2,h,1100000.0,S,Hodges,23-04-2016,3190,Southern Metropolitan,16.0,Bayside City Council,10454,1,0,15,0,0
626,Ivanhoe,103 Waterdale Rd,3,h,1225000.0,SP,Miles,23-04-2016,3079,Eastern Metropolitan,7.8,Banyule City Council,12171,6,2,24,1,1
627,Keilor East,20 Keith Gr,3,h,825000.0,S,Nelson,23-04-2016,3033,Western Metropolitan,11.7,Brimbank City Council,14514,2,0,17,0,0
628,Keilor East,89 Sterling Dr,4,h,680000.0,S,Barry,23-04-2016,3033,Western Metropolitan,11.7,Brimbank City Council,14514,2,0,17,0,0
629,Kensington,208/465 MacAulay Rd,2,u,460000.0,SP,Rendina,23-04-2016,3031,Northern Metropolitan,3.4,Melbourne City Council,10812,7,0,3,0,0
630,Kew,5/13 Hope Ct,2,u,551000.0,S,Jellis,23-04-2016,3101,Southern Metropolitan,5.4,Boroondara City Council,24605,11,5,13,1,1
631,Kew,91 Princess St,4,h,2800000.0,VB,Kay,23-04-2016,3101,Southern Metropolitan,5.4,Boroondara City Council,24605,11,5,13,1,1
632,Kew,15 Rimington Av,3,h,2215000.0,S,Christopher,23-04-2016,3101,Southern Metropolitan,5.4,Boroondara City Council,24605,11,5,13,1,1
633,Keysborough,16 Narellan Dr,3,h,695000.0,S,iSell,23-04-2016,3173,South-Eastern Metropolitan,25.2,Greater Dandenong City Council,25785,6,0,33,1,1
634,Maidstone,191 Ballarat Rd,3,h,750000.0,VB,C21,23-04-2016,3012,Western Metropolitan,6.4,Maribyrnong City Council,9032,6,0,29,0,0
635,Maidstone,4/6 Crefden St,2,u,360000.0,PI,Pagan,23-04-2016,3012,Western Metropolitan,6.4,Maribyrnong City Council,9032,6,0,29,0,0
636,Malvern East,3/907 Dandenong Rd,1,u,300000.0,PI,Anderson,23-04-2016,3145,Southern Metropolitan,8.4,Stonnington City Council,21707,6,1,31,0,0
637,Maribyrnong,16 Amarco Cr,4,h,880000.0,SP,Biggin,23-04-2016,3032,Western Metropolitan,4.3,Maribyrnong City Council,12216,6,1,25,0,0
638,Maribyrnong,2 Murnong St,4,h,1048700.0,SP,Brad,23-04-2016,3032,Western Metropolitan,4.3,Maribyrnong City Council,12216,6,1,25,0,0
639,Meadow Heights,1/7 Eldorado Cr,3,u,221000.0,S,Raine,23-04-2016,3048,Northern Metropolitan,17.4,Hume City Council,14842,2,0,0,0,0
640,Melbourne,43/1 Exhibition St,1,u,436000.0,S,RT,23-04-2016,3000,Northern Metropolitan,0.0,Melbourne City Council,47285,3,2,5,0,0
641,Melbourne,101/55 Queens Rd,2,u,595000.0,S,Biggin,23-04-2016,3000,Northern Metropolitan,0.0,Melbourne City Council,47285,3,2,5,0,0
642,Melbourne,12/73 Queens Rd,2,u,620000.0,S,Kay,23-04-2016,3000,Northern Metropolitan,0.0,Melbourne City Council,47285,3,2,5,0,0
643,Mentone,5/57 Collins St,2,u,440000.0,VB,Hodges,23-04-2016,3194,South-Eastern Metropolitan,20.0,Kingston City Council,12965,8,0,20,1,1
644,Mentone,2/3 Stawell St,2,t,721000.0,S,Buxton,23-04-2016,3194,South-Eastern Metropolitan,20.0,Kingston City Council,12965,8,0,20,1,1
645,Middle Park,15 Fraser St,2,h,1025000.0,S,Marshall,23-04-2016,3206,Southern Metropolitan,3.0,Port Phillip City Council,4143,4,0,33,0,0
646,Mill Park,28 Dunlop Cr,3,h,400000.0,PI,Love,23-04-2016,3082,Northern Metropolitan,17.9,Whittlesea City Council,29710,6,0,21,0,0
647,Mill Park,7 Hinkler Dr,4,h,605000.0,S,Ray,23-04-2016,3082,Northern Metropolitan,17.9,Whittlesea City Council,29710,6,0,21,0,0
648,Mill Park,29 Romano Av,3,h,420000.0,SP,Barry,23-04-2016,3082,Northern Metropolitan,17.9,Whittlesea City Council,29710,6,0,21,0,0
649,Mitcham,1/32 Brunswick Rd,3,t,650000.0,PI,Ray,23-04-2016,3132,Eastern Metropolitan,17.2,Whitehorse City Council,16148,5,2,11,1,1
650,Mitcham,56 Churinga Av,3,h,786000.0,S,Philip,23-04-2016,3132,Eastern Metropolitan,17.2,Whitehorse City Council,16148,5,2,11,1,1
651,Mitcham,8 Dampier Gr,3,h,728000.0,S,Ray,23-04-2016,3132,Eastern Metropolitan,17.2,Whitehorse City Council,16148,5,2,11,1,1
652,Mitcham,2 Rothwell Ct,5,h,1034000.0,S,Ray,23-04-2016,3132,Eastern Metropolitan,17.2,Whitehorse City Council,16148,5,2,11,1,1
653,Moonee Ponds,1a Ardmillan Rd,3,h,1250000.0,S,Raine,23-04-2016,3039,Western Metropolitan,6.2,Moonee Valley City Council,14250,3,1,26,1,1
654,Moonee Ponds,2/102 Bent St,3,t,870000.0,S,Nelson,23-04-2016,3039,Western Metropolitan,6.2,Moonee Valley City Council,14250,3,1,26,1,1
655,Moonee Ponds,9 Newton Pde,2,h,801000.0,S,Brad,23-04-2016,3039,Western Metropolitan,6.2,Moonee Valley City Council,14250,3,1,26,1,1
656,Moonee Ponds,77a Scott St,3,h,1390000.0,S,Brad,23-04-2016,3039,Western Metropolitan,6.2,Moonee Valley City Council,14250,3,1,26,1,1
657,Mooroolbark,7 Carawa St,3,h,420000.0,S,iTRAK,23-04-2016,3138,Eastern Victoria,26.5,Yarra Ranges Shire Council,21967,10,0,7,1,1
658,Mordialloc,3/397 Nepean Hwy,1,u,300000.0,VB,Hodges,23-04-2016,3195,South-Eastern Metropolitan,21.5,Kingston City Council,8166,11,1,30,0,0
659,Mordialloc,7a Steedman St,3,t,842500.0,S,Charlton,23-04-2016,3195,South-Eastern Metropolitan,21.5,Kingston City Council,8166,11,1,30,0,0
660,Mount Waverley,1/40 Kemp Av,2,u,988000.0,SP,Jellis,23-04-2016,3149,Eastern Metropolitan,14.2,Monash City Council,33611,10,2,20,0,0
661,Mount Waverley,4 Melissa St,4,h,993000.0,S,Ray,23-04-2016,3149,Eastern Metropolitan,14.2,Monash City Council,33611,10,2,20,0,0
662,Mount Waverley,10 Russell Cr,3,h,985000.0,S,Buxton,23-04-2016,3149,Eastern Metropolitan,14.2,Monash City Council,33611,10,2,20,0,0
663,Murrumbeena,1/178 Murrumbeena Rd,2,t,720000.0,S,hockingstuart,23-04-2016,3163,Southern Metropolitan,10.1,Glen Eira City Council,9926,5,0,28,0,0
664,Newport,1/31 Elizabeth St,2,u,560000.0,SP,Williams,23-04-2016,3015,Western Metropolitan,6.2,Hobsons Bay City Council,12916,5,0,27,0,0
665,Newport,63 Mason St,3,h,805000.0,S,RT,23-04-2016,3015,Western Metropolitan,6.2,Hobsons Bay City Council,12916,5,0,27,0,0
666,Newport,5/67 Oxford St,2,h,680000.0,SP,RT,23-04-2016,3015,Western Metropolitan,6.2,Hobsons Bay City Council,12916,5,0,27,0,0
667,Noble Park,27 Rich St,3,h,640000.0,S,RW,23-04-2016,3174,South-Eastern Metropolitan,22.7,Greater Dandenong City Council,30998,11,3,25,1,1
668,Northcote,1/54 Emmaline St,1,u,370000.0,PI,hockingstuart,23-04-2016,3070,Northern Metropolitan,5.3,Darebin City Council,24561,6,0,16,1,1
669,Northcote,12 Stott St,3,h,1225000.0,SP,Barry,23-04-2016,3070,Northern Metropolitan,5.3,Darebin City Council,24561,6,0,16,1,1
670,Notting Hill,1/6 Chandor Ct,2,u,605000.0,S,hockingstuart,23-04-2016,3168,Southern Metropolitan,16.7,Monash City Council,3050,2,6,26,0,0
671,Oakleigh East,11 Elysium Cr,3,h,859000.0,S,Buxton,23-04-2016,3166,Southern Metropolitan,12.3,Monash City Council,6444,7,0,43,0,0
672,Ormond,2/26 Wicklow St,3,u,940000.0,PI,Buxton,23-04-2016,3204,Southern Metropolitan,11.4,Glen Eira City Council,8417,9,2,28,0,0
673,Pascoe Vale,1 Dorset Rd,2,h,630000.0,S,YPA,23-04-2016,3044,Northern Metropolitan,8.5,Moreland City Council,17051,6,1,17,0,0
674,Pascoe Vale,2 Karadoc Av,3,h,805000.0,S,hockingstuart,23-04-2016,3044,Northern Metropolitan,8.5,Moreland City Council,17051,6,1,17,0,0
675,Pascoe Vale,3/191 Sussex St,2,t,410000.0,VB,Brad,23-04-2016,3044,Northern Metropolitan,8.5,Moreland City Council,17051,6,1,17,0,0
676,Pascoe Vale,5 Virginia St,3,h,600000.0,PI,Re,23-04-2016,3044,Northern Metropolitan,8.5,Moreland City Council,17051,6,1,17,0,0
677,Port Melbourne,216 Esplanade Pl,2,h,1532000.0,S,Cayzer,23-04-2016,3207,Southern Metropolitan,3.5,Melbourne City Council,16175,2,0,21,1,1
678,Prahran,35 Chomley St,2,h,1180000.0,S,Jellis,23-04-2016,3181,Southern Metropolitan,4.6,Stonnington City Council,12982,4,4,17,1,1
679,Prahran,210/10 Hillingdon Pl,2,u,510000.0,PI,hockingstuart,23-04-2016,3181,Southern Metropolitan,4.6,Stonnington City Council,12982,4,4,17,1,1
680,Preston,209 High St,4,h,600000.0,VB,Nelson,23-04-2016,3072,Northern Metropolitan,8.4,Darebin City Council,32851,11,1,31,0,0
681,Reservoir,14 Beenak St,3,h,572000.0,S,Ray,23-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
682,Reservoir,173 Broadhurst Av,3,h,581000.0,S,Ray,23-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
683,Reservoir,1/15 Delaware St,3,h,600000.0,S,Ray,23-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
684,Reservoir,2/15 Delaware St,3,h,450000.0,VB,Ray,23-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
685,Reservoir,2/6 Eisenhower St,2,t,360000.0,VB,Nelson,23-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
686,Reservoir,2/2 Elsey Rd,2,u,525000.0,S,Harcourts,23-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
687,Reservoir,22b Glasgow Av,3,t,585000.0,S,Nelson,23-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
688,Reservoir,46 Oakhill Av,3,h,1115000.0,S,Barry,23-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
689,Reservoir,17 Ramleh Rd,3,h,692500.0,S,Love,23-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
690,Reservoir,163 Spring St,4,h,790000.0,S,Ray,23-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
